2010_1,0,0,29.45
2010_2,0,0,30.1
2010_3,0,0,24.57
2010_4,0,0,25.49
2011_1,0,0,28.44
2011_2,0,0,25.795
2011_3,0,0,26.995
2011_4,0,0,25.88
2012_1,0,0,28.17
2012_2,0,0,31.56
2012_3,0,0,29.795
2012_4,0,0,29.005
2013_1,0,0,27.255
2013_2,0,0,30.61
2013_3,0,0,33.725
2013_4,0,0,34.545
2014_1,0,0,36.26
2014_2,0,0,40.28
2014_3,0,0,43.38
2014_4,0,0,44.535
2015_1,0,0,44.13
2015_2,0,0,44.83
2015_3,0,0,45.36
2015_4,0,0,49.06
2016_1,"3,756","5,112",52.245
2016_2,"3,122","4,026",53.06
2016_3,"4,690","5,150",53.84
2016_4,"5,200","6,181",58.84
2017_1,"4,801","5,919",63.93
2017_2,"6,513","6,550",66.995
2017_3,"6,576","7,597",71.22
2017_4,"6,302","8,660",79.955
2018_1,"7,424","8,284",90.475
2018_2,"8,873","10,332",92.705
2018_3,"8,824","9,863",104.575
2018_4,"8,420","10,170",108.145
2019_1,"8,809","10,275",102.55
2019_2,"13,187","12,310",124.735
2019_3,"10,678","12,686",138.175
2019_4,"11,649","13,891",139.445
2020_1,"10,752","12,975",165.28
2020_2,"11,202","13,407",165.38
2020_3,"13,893","15,876",206.945
2020_4,"15,463","17,897",212.415
2021_1,0,0,227.29
2021_2,0,0,250.62
2021_3,0,0,279.875
2021_4,0,0,306.125
ms,총당기순이익(백만USD),영업이익(백만USD),주가 평균(고가와 저가의 평균)USD
